Date,Source,Site ID,POC,Daily Mean PM10 Concentration,UNITS,DAILY_AQI_VALUE,Site Name,DAILY_OBS_COUNT,PERCENT_COMPLETE,AQS_PARAMETER_CODE,AQS_PARAMETER_DESC,CBSA_CODE,CBSA_NAME,STATE_CODE,STATE,COUNTY_CODE,COUNTY,SITE_LATITUDE,SITE_LONGITUDE
1/20/2023,AQS,490353015,3,9,ug/m3 SC,8,Utah Technical Center,1,100,81102,PM10 Total 0-10um STP,41620,"Salt Lake City, UT",49,Utah,35,Salt Lake,40.777145,-111.945849
1/21/2023,AQS,490353015,3,8,ug/m3 SC,7,Utah Technical Center,1,100,81102,PM10 Total 0-10um STP,41620,"Salt Lake City, UT",49,Utah,35,Salt Lake,40.777145,-111.945849
1/22/2023,AQS,490353015,3,14,ug/m3 SC,13,Utah Technical Center,1,100,81102,PM10 Total 0-10um STP,41620,"Salt Lake City, UT",49,Utah,35,Salt Lake,40.777145,-111.945849
1/23/2023,AQS,490353015,3,13,ug/m3 SC,12,Utah Technical Center,1,100,81102,PM10 Total 0-10um STP,41620,"Salt Lake City, UT",49,Utah,35,Salt Lake,40.777145,-111.945849
1/24/2023,AQS,490353015,3,13,ug/m3 SC,12,Utah Technical Center,1,100,81102,PM10 Total 0-10um STP,41620,"Salt Lake City, UT",49,Utah,35,Salt Lake,40.777145,-111.945849
1/25/2023,AQS,490353015,3,24,ug/m3 SC,22,Utah Technical Center,1,100,81102,PM10 Total 0-10um STP,41620,"Salt Lake City, UT",49,Utah,35,Salt Lake,40.777145,-111.945849
1/26/2023,AQS,490353015,3,27,ug/m3 SC,25,Utah Technical Center,1,100,81102,PM10 Total 0-10um STP,41620,"Salt Lake City, UT",49,Utah,35,Salt Lake,40.777145,-111.945849
1/27/2023,AQS,490353015,3,16,ug/m3 SC,15,Utah Technical Center,1,100,81102,PM10 Total 0-10um STP,41620,"Salt Lake City, UT",49,Utah,35,Salt Lake,40.777145,-111.945849
1/28/2023,AQS,490353015,3,10,ug/m3 SC,9,Utah Technical Center,1,100,81102,PM10 Total 0-10um STP,41620,"Salt Lake City, UT",49,Utah,35,Salt Lake,40.777145,-111.945849
1/29/2023,AQS,490353015,3,11,ug/m3 SC,10,Utah Technical Center,1,100,81102,PM10 Total 0-10um STP,41620,"Salt Lake City, UT",49,Utah,35,Salt Lake,40.777145,-111.945849
1/30/2023,AQS,490353015,3,13,ug/m3 SC,12,Utah Technical Center,1,100,81102,PM10 Total 0-10um STP,41620,"Salt Lake City, UT",49,Utah,35,Salt Lake,40.777145,-111.945849
1/31/2023,AQS,490353015,3,33,ug/m3 SC,31,Utah Technical Center,1,100,81102,PM10 Total 0-10um STP,41620,"Salt Lake City, UT",49,Utah,35,Salt Lake,40.777145,-111.945849
2/1/2023,AQS,490353015,3,53,ug/m3 SC,49,Utah Technical Center,1,100,81102,PM10 Total 0-10um STP,41620,"Salt Lake City, UT",49,Utah,35,Salt Lake,40.777145,-111.945849
2/2/2023,AQS,490353015,3,63,ug/m3 SC,55,Utah Technical Center,1,100,81102,PM10 Total 0-10um STP,41620,"Salt Lake City, UT",49,Utah,35,Salt Lake,40.777145,-111.945849
2/3/2023,AQS,490353015,3,70,ug/m3 SC,58,Utah Technical Center,1,100,81102,PM10 Total 0-10um STP,41620,"Salt Lake City, UT",49,Utah,35,Salt Lake,40.777145,-111.945849
2/4/2023,AQS,490353015,3,66,ug/m3 SC,56,Utah Technical Center,1,100,81102,PM10 Total 0-10um STP,41620,"Salt Lake City, UT",49,Utah,35,Salt Lake,40.777145,-111.945849
